epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.708,1.23197,1.84655,1.07753,0.82171,0.80311,0.86398,0.53641,1.26738,1.06478,1.15921,0.000553616,0.000553616,0.000553616
2,295.025,1.22117,1.00681,1.09732,0.8397,0.84432,0.85731,0.57034,1.1952,0.84706,1.15396,0.0010983,0.0010983,0.0010983
3,400.789,1.22409,0.79942,1.10298,0.89694,0.89846,0.91233,0.59107,1.20237,0.79672,1.18767,0.00163198,0.00163198,0.00163198
4,502.512,1.21989,0.75417,1.10611,0.84199,0.9339,0.92426,0.61619,1.15483,0.77039,1.13533,0.00161749,0.00161749,0.00161749
5,601.385,1.17921,0.69025,1.09001,0.82981,0.86728,0.87864,0.59307,1.13902,0.79877,1.12488,0.00160099,0.00160099,0.00160099
6,701.16,1.16588,0.65753,1.08269,0.91772,0.82367,0.90215,0.60234,1.12901,0.67538,1.10409,0.00158448,0.00158448,0.00158448
7,799.284,1.16663,0.64014,1.08523,0.79088,0.8101,0.86299,0.5386,1.25617,0.72736,1.19604,0.00156798,0.00156798,0.00156798
8,896.742,1.15048,0.62238,1.07356,0.90131,0.94615,0.92366,0.63745,1.11934,0.54774,1.0974,0.00155148,0.00155148,0.00155148
9,995.761,1.13752,0.60497,1.06694,0.92209,0.94505,0.94172,0.66969,1.08089,0.53397,1.07467,0.00153497,0.00153497,0.00153497
10,1093.25,1.13416,0.59874,1.06769,0.92863,0.94807,0.95537,0.66297,1.12617,0.52806,1.09038,0.00151847,0.00151847,0.00151847
11,1193.02,1.11246,0.56364,1.05748,0.90948,0.95573,0.94399,0.65747,1.07144,0.51685,1.08241,0.00150197,0.00150197,0.00150197
12,1290.43,1.13255,0.56209,1.0655,0.91387,0.98227,0.94356,0.64898,1.07705,0.49971,1.07145,0.00148546,0.00148546,0.00148546
13,1390.12,1.11742,0.55402,1.05594,0.90151,0.97803,0.95038,0.67783,1.06423,0.50715,1.06726,0.00146896,0.00146896,0.00146896
14,1487.62,1.12791,0.56309,1.06179,0.91694,0.96401,0.95481,0.66652,1.08461,0.50245,1.07072,0.00145246,0.00145246,0.00145246
15,1588.22,1.11238,0.55017,1.04984,0.92675,0.97302,0.95933,0.68069,1.05168,0.47623,1.07478,0.00143595,0.00143595,0.00143595
16,1690.73,1.109,0.54676,1.05453,0.91352,0.9702,0.95477,0.67869,1.05844,0.50077,1.06726,0.00141945,0.00141945,0.00141945
17,1800.13,1.09606,0.53767,1.0462,0.92543,0.95659,0.9422,0.66771,1.05489,0.47431,1.06,0.00140295,0.00140295,0.00140295
18,1911.05,1.09451,0.53064,1.04423,0.90472,0.96056,0.94268,0.66598,1.06145,0.50474,1.06931,0.00138644,0.00138644,0.00138644
19,2020.68,1.09273,0.53061,1.04886,0.93263,0.96048,0.93777,0.67028,1.04107,0.47192,1.05332,0.00136994,0.00136994,0.00136994
20,2135.64,1.08089,0.52256,1.04237,0.91149,0.98226,0.94484,0.66638,1.05285,0.46098,1.06508,0.00135344,0.00135344,0.00135344
21,2245.76,1.08562,0.5219,1.04086,0.93287,0.9565,0.94964,0.66709,1.0574,0.47331,1.0577,0.00133693,0.00133693,0.00133693
22,2356.91,1.08853,0.5257,1.04533,0.90874,0.97238,0.94049,0.67412,1.03726,0.45869,1.05281,0.00132043,0.00132043,0.00132043
23,2462.12,1.08568,0.50967,1.04448,0.93155,0.97701,0.94061,0.66705,1.04413,0.46298,1.05949,0.00130393,0.00130393,0.00130393
24,2565.26,1.07686,0.51031,1.03816,0.9289,0.94422,0.93782,0.67638,1.03033,0.45679,1.05104,0.00128742,0.00128742,0.00128742
25,2669.37,1.07393,0.51386,1.03779,0.92559,0.95796,0.95144,0.68654,1.03355,0.4599,1.05414,0.00127092,0.00127092,0.00127092
