epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1910.04,1.25002,1.52754,1.15119,0.66082,0.66721,0.66978,0.42347,1.29299,1.07061,1.2562,0.000553616,0.000553616,0.000553616
2,2027.48,1.2377,0.7919,1.12542,0.75223,0.81259,0.76105,0.49484,1.17235,0.87866,1.15857,0.0010983,0.0010983,0.0010983
3,2140.39,1.24515,0.76701,1.12438,0.01219,0.68855,0.00858,0.00486,1.90046,inf,6.17899,0.00163198,0.00163198,0.00163198
4,2255.96,1.23271,0.74484,1.11792,0.81075,0.90539,0.90295,0.58642,1.18205,0.69958,1.1387,0.00161749,0.00161749,0.00161749
5,2370.77,1.19454,0.69097,1.09987,0.77153,0.82671,0.90395,0.5997,1.18059,0.83406,1.13793,0.00160099,0.00160099,0.00160099
6,2492.53,1.17426,0.65352,1.08798,0.90098,0.86657,0.89404,0.60974,1.12248,0.6189,1.10242,0.00158448,0.00158448,0.00158448
7,2616.98,1.17328,0.63552,1.09246,0.87046,0.93852,0.92008,0.61029,1.16473,0.56763,1.13629,0.00156798,0.00156798,0.00156798
8,2737.49,1.16173,0.62276,1.08185,0.89813,0.94063,0.93486,0.65708,1.10409,0.58183,1.10028,0.00155148,0.00155148,0.00155148
9,2857.52,1.14074,0.60673,1.07245,0.90724,0.9481,0.91783,0.63871,1.11614,0.55727,1.1026,0.00153497,0.00153497,0.00153497
10,2976.4,1.14207,0.59423,1.07554,0.91486,0.96131,0.94027,0.65841,1.09583,0.52856,1.08957,0.00151847,0.00151847,0.00151847
11,3095.32,1.11447,0.56707,1.06282,0.89863,0.94276,0.93841,0.65243,1.07679,0.53492,1.08977,0.00150197,0.00150197,0.00150197
12,3212.75,1.13261,0.56229,1.06872,0.9102,0.96144,0.93539,0.64479,1.07974,0.52918,1.08665,0.00148546,0.00148546,0.00148546
13,3334.03,1.11993,0.55363,1.06063,0.8956,0.94954,0.94983,0.66839,1.08082,0.51155,1.08169,0.00146896,0.00146896,0.00146896
14,3454.28,1.12989,0.5614,1.06555,0.88711,0.96143,0.92286,0.64858,1.08202,0.51062,1.07567,0.00145246,0.00145246,0.00145246
15,3573.29,1.1092,0.54304,1.0519,0.9136,0.96877,0.92305,0.65659,1.04836,0.46858,1.06776,0.00143595,0.00143595,0.00143595
16,3686.07,1.10142,0.53351,1.05479,0.91343,0.96904,0.93438,0.65501,1.07938,0.4884,1.08202,0.00141945,0.00141945,0.00141945
17,3798.28,1.10522,0.53017,1.05131,0.90462,0.96008,0.92779,0.65044,1.05747,0.48506,1.07185,0.00140295,0.00140295,0.00140295
18,3913.28,1.09118,0.5311,1.04624,0.91921,0.96502,0.93392,0.65696,1.05582,0.4815,1.0728,0.00138644,0.00138644,0.00138644
19,4027.85,1.09036,0.52204,1.04487,0.92466,0.97502,0.93147,0.66396,1.03698,0.46154,1.05105,0.00136994,0.00136994,0.00136994
20,4141.97,1.07449,0.50627,1.03854,0.93145,0.95549,0.93303,0.66681,1.03123,0.44828,1.05327,0.00135344,0.00135344,0.00135344
21,4253.75,1.08318,0.5126,1.04251,0.91496,0.96851,0.93352,0.65493,1.05772,0.48321,1.06583,0.00133693,0.00133693,0.00133693
22,4366.82,1.07948,0.51334,1.04284,0.90309,0.96484,0.92846,0.65195,1.042,0.47021,1.05904,0.00132043,0.00132043,0.00132043
23,4476.63,1.07663,0.49751,1.04312,0.91498,0.96162,0.93035,0.65624,1.05477,0.46801,1.0618,0.00130393,0.00130393,0.00130393
