epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.4847,1.22867,1.70446,1.10763,0.85803,0.85412,0.91681,0.5941,1.15855,1.0446,1.12423,0.000553616,0.000553616,0.000553616
2,181.749,1.21713,0.95409,1.09918,0.81934,0.85457,0.85189,0.55338,1.24144,0.78792,1.17298,0.0010983,0.0010983,0.0010983
3,272.686,1.21477,0.78263,1.10103,0.87912,0.92494,0.90743,0.6069,1.12764,0.64152,1.1268,0.00163198,0.00163198,0.00163198
4,361.834,1.20828,0.73577,1.09765,0.89387,0.89684,0.91909,0.5721,1.19821,0.67019,1.1366,0.00161749,0.00161749,0.00161749
5,451.023,1.17009,0.67867,1.0838,0.86732,0.90727,0.91737,0.61514,1.11132,0.6605,1.10425,0.00160099,0.00160099,0.00160099
6,543.127,1.15573,0.64599,1.07511,0.91377,0.94683,0.93239,0.63545,1.10185,0.56111,1.09858,0.00158448,0.00158448,0.00158448
7,641.464,1.15545,0.62123,1.08153,0.86936,0.95281,0.9065,0.59449,1.13218,0.5996,1.11647,0.00156798,0.00156798,0.00156798
8,739.49,1.14548,0.61678,1.07029,0.91509,0.94753,0.92627,0.63268,1.12766,0.55822,1.11799,0.00155148,0.00155148,0.00155148
9,838.064,1.12826,0.5893,1.06465,0.92188,0.92152,0.92948,0.64298,1.13275,0.53485,1.0945,0.00153497,0.00153497,0.00153497
10,936.713,1.12924,0.58722,1.06956,0.91747,0.94349,0.93742,0.64451,1.11965,0.51914,1.08944,0.00151847,0.00151847,0.00151847
11,1035.48,1.10852,0.55354,1.05739,0.92088,0.938,0.9406,0.66636,1.05766,0.52602,1.06868,0.00150197,0.00150197,0.00150197
12,1135.27,1.11675,0.56037,1.06026,0.92126,0.95612,0.94355,0.66143,1.05532,0.51316,1.07116,0.00148546,0.00148546,0.00148546
13,1231.62,1.10182,0.54486,1.05249,0.92746,0.96033,0.9427,0.66975,1.05624,0.47936,1.05955,0.00146896,0.00146896,0.00146896
14,1330.16,1.11454,0.55558,1.0584,0.92142,0.95201,0.94146,0.65741,1.08102,0.48915,1.07002,0.00145246,0.00145246,0.00145246
15,1430.81,1.1017,0.54166,1.04633,0.93906,0.96164,0.93761,0.66947,1.05441,0.46437,1.07156,0.00143595,0.00143595,0.00143595
16,1522.69,1.09511,0.5315,1.04998,0.90714,0.95883,0.93012,0.65418,1.07383,0.49391,1.07484,0.00141945,0.00141945,0.00141945
17,1614.21,1.09163,0.53189,1.04709,0.91871,0.97249,0.91961,0.64865,1.0626,0.46271,1.06018,0.00140295,0.00140295,0.00140295
18,1705.93,1.08782,0.51883,1.04302,0.93035,0.96248,0.92991,0.66731,1.04668,0.47394,1.05979,0.00138644,0.00138644,0.00138644
19,1800.26,1.08256,0.52014,1.04295,0.92695,0.97601,0.94015,0.67849,1.03941,0.45456,1.05574,0.00136994,0.00136994,0.00136994
20,1899.75,1.07829,0.51327,1.04389,0.92825,0.97977,0.93449,0.67271,1.04061,0.45099,1.0639,0.00135344,0.00135344,0.00135344
21,1999.81,1.08171,0.51135,1.04597,0.93034,0.9815,0.94649,0.67272,1.05436,0.46686,1.0576,0.00133693,0.00133693,0.00133693
22,2091.31,1.0741,0.5139,1.04305,0.92762,0.96648,0.94541,0.67912,1.02866,0.45627,1.04995,0.00132043,0.00132043,0.00132043
23,2179.13,1.07179,0.49983,1.04606,0.936,0.98002,0.94435,0.66952,1.03668,0.45769,1.05809,0.00130393,0.00130393,0.00130393
24,2268.8,1.06865,0.50284,1.03898,0.92624,0.98127,0.92927,0.67452,1.02508,0.45095,1.04744,0.00128742,0.00128742,0.00128742
25,2362.87,1.06426,0.5038,1.03845,0.93886,0.97267,0.94489,0.67498,1.03712,0.45152,1.06114,0.00127092,0.00127092,0.00127092
26,2454.24,1.05648,0.48871,1.03431,0.92014,0.98808,0.94232,0.67861,1.03445,0.46636,1.05875,0.00125442,0.00125442,0.00125442
27,2543.95,1.05417,0.48728,1.03603,0.89856,0.96868,0.95352,0.69522,1.02406,0.4546,1.04893,0.00123791,0.00123791,0.00123791
28,2632.32,1.05095,0.48573,1.03247,0.92096,0.98339,0.93711,0.67396,1.03921,0.45307,1.05072,0.00122141,0.00122141,0.00122141
29,2721.06,1.06154,0.48745,1.04076,0.9232,0.98462,0.93519,0.66937,1.03178,0.42886,1.04597,0.00120491,0.00120491,0.00120491
