epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.339,1.23396,1.16973,1.13264,0.82611,0.69523,0.81011,0.50512,1.2545,0.98274,1.20453,0.000553616,0.000553616,0.000553616
2,246.694,1.22847,0.75517,1.12676,0.80379,0.81325,0.84169,0.55141,1.19472,0.80647,1.16732,0.0010983,0.0010983,0.0010983
3,345.909,1.2252,0.73015,1.1208,0.80391,0.64825,0.70725,0.45853,1.151,1.00397,1.1498,0.00163198,0.00163198,0.00163198
4,447.85,1.22132,0.70791,1.1209,0.89567,0.93257,0.94888,0.63929,1.16429,0.59386,1.14472,0.00161749,0.00161749,0.00161749
5,551.995,1.16925,0.64815,1.09494,0.91538,0.93017,0.93428,0.62697,1.13561,0.59871,1.13237,0.00160099,0.00160099,0.00160099
6,652.467,1.16335,0.62969,1.09232,0.90434,0.92405,0.93654,0.64225,1.12643,0.55858,1.1255,0.00158448,0.00158448,0.00158448
7,752.07,1.1638,0.6127,1.09326,0.91582,0.91948,0.94132,0.63211,1.11504,0.56581,1.13579,0.00156798,0.00156798,0.00156798
8,858.53,1.13728,0.60422,1.07591,0.90823,0.8761,0.92109,0.62917,1.11321,0.60077,1.10436,0.00155148,0.00155148,0.00155148
9,965.047,1.13312,0.59108,1.07212,0.93697,0.94001,0.94433,0.654,1.12806,0.52789,1.10857,0.00153497,0.00153497,0.00153497
10,1071.84,1.12447,0.57733,1.07444,0.92066,0.94644,0.94486,0.65169,1.1089,0.52532,1.09275,0.00151847,0.00151847,0.00151847
11,1179.22,1.10721,0.54473,1.06539,0.91987,0.94089,0.92327,0.65233,1.05743,0.53075,1.0898,0.00150197,0.00150197,0.00150197
12,1285.22,1.11469,0.54769,1.07112,0.92374,0.96329,0.94451,0.65389,1.0779,0.50969,1.09008,0.00148546,0.00148546,0.00148546
13,1390.55,1.10392,0.54161,1.06238,0.92417,0.95388,0.95346,0.68423,1.04967,0.48322,1.0708,0.00146896,0.00146896,0.00146896
14,1498.21,1.11397,0.54825,1.07297,0.91957,0.96889,0.94339,0.66161,1.05888,0.48372,1.0759,0.00145246,0.00145246,0.00145246
15,1605.43,1.09611,0.5335,1.05362,0.92871,0.95952,0.93798,0.65834,1.05017,0.47889,1.07501,0.00143595,0.00143595,0.00143595
16,1713.93,1.0949,0.52206,1.05816,0.91399,0.97399,0.94218,0.66974,1.07123,0.47695,1.08323,0.00141945,0.00141945,0.00141945
17,1818.69,1.08433,0.51647,1.05141,0.92444,0.96715,0.94288,0.67771,1.04923,0.46601,1.06031,0.00140295,0.00140295,0.00140295
18,1924.8,1.0782,0.51171,1.04471,0.91841,0.9695,0.93577,0.67113,1.03957,0.47074,1.07199,0.00138644,0.00138644,0.00138644
19,2026.97,1.07408,0.51178,1.05068,0.91807,0.96098,0.94884,0.68285,1.04102,0.47341,1.05849,0.00136994,0.00136994,0.00136994
20,2125.28,1.06739,0.50017,1.04445,0.92719,0.96199,0.94323,0.67845,1.02958,0.46731,1.06686,0.00135344,0.00135344,0.00135344
21,2225.03,1.07682,0.50359,1.04614,0.91711,0.96098,0.94213,0.67886,1.04514,0.46058,1.06276,0.00133693,0.00133693,0.00133693
22,2325.42,1.06865,0.50253,1.04428,0.92685,0.97398,0.95006,0.68419,1.03491,0.44379,1.05098,0.00132043,0.00132043,0.00132043
23,2427.31,1.06228,0.49109,1.04308,0.93404,0.96772,0.96099,0.67639,1.03799,0.45923,1.06214,0.00130393,0.00130393,0.00130393
